Év	Minimálbér	Bruttó átlagjövedelem	Benzin(86)	Benzin(91)	Benzin(92)	Benzin(95)	Gázolaj
1991	7000	17934	50,5		53,5		33,5
1992	8000	22294	55		63,51	64,43	41,75
1993	9000	27173		69,94	73,36	73,07	60,57
1994	10500	33309		78,56	82,68	80,56	66,85
1995	12200	38900		97,11	102,52	98,96	85,11
1996	14500	46837		117,3	116,97	120,483	108,44
1997	17000	57270		117,56		132,7	125,92
1998	19500	67764		154,5		157,75	142,75
1999	22500	77187		163,5		178	158,75
2000	25500	87645				222,8	213,5
2001	40000	103553				227,78	219,25
2002	50000	122482				221,75	201,5
2003	50000	137193				234,5	216,38
2004	53000	145520				241,75	219,25
2005	57000	158343				258,5	250,25
2006	62500	171351				277,25	281,5
2007	65500	185017				273,25	260,92
2008	69000	198964				298,92	312,5
2009	71500	199837				275,17	269,58
2010	73500	202525				333,5	317,83
2011	78000	213094				379,75	374,83
2012	93000	223060				427,08	438
2013	98000	230714				420	427,58
2014	101500	237695				413,75	425,25
2015	105000	247924				363,08	368,25
2016	111000	263171				335	332,92
2017	127500	297017				355,67	360,92
2018	138000	329943				384	396,42
2019	149000	367833				382,27	402
2020	161000	398333				365	380,33
2021	167400	438800				630	640
2022	200000	515766				650	660
2023	232000	589114				640	650
2024	266800	646800				610	620
2025	290800	705400				594	602
